path	codec	height	container_fps	decode_fps_1	decode_fps_2	interlaced	progressive	verdict
/Volumes/nas/media/archive/Bedtime Stories.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Beetlejuice.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	687	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Behind Enemy LInes.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Big Hero 6.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	713	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Bill and Teds Bogus Journey.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Bill and Teds Excellent Adventure.mkv	mpeg2video	480	30000/1001	24.06	24.00	4	718	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Billy Madison.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	708	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Black Sheep (1996) .mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Black Hawk Down.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Blades of Glory.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/2 Fast 2 Furious (2003).mkv	h264	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/Dune - Part 1 (2021).mkv	h264	1080	24000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/Dune - Part 2 (2024).mkv	h264	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/Army of Darkness_t00.mkv	vc1	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/Furious 7 (2015).mkv	h264	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/Fast Five (2011).mkv	h264	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/Hot Fuzz (2007).mkv	vc1	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
